,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
0,27145,YSSY,large_airport,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,Australia,AU,New South Wales,AU-NSW,NSW,Sydney,1,YSSY,SYD,,http://www.sydneyairport.com.au/,https://en.wikipedia.org/wiki/Kingsford_Smith_International_Airport,RAAF Station Mascot,1027975,2008-06-26T14:52:34+00:00
1,27066,YMML,large_airport,Melbourne International Airport,-37.673302,144.843002,434.0,OC,Australia,AU,Victoria,AU-VIC,VIC,Melbourne,1,YMML,MEL,,http://melbourneairport.com.au/,https://en.wikipedia.org/wiki/Melbourne_Airport,,1016075,2017-03-06T19:29:22+00:00
2,26901,YBBN,large_airport,Brisbane International Airport,-27.38419914245605,153.11700439453125,13.0,OC,Australia,AU,Queensland,AU-QLD,QLD,Brisbane,1,YBBN,BNE,,,https://en.wikipedia.org/wiki/Brisbane_Airport,,1013175,2008-06-26T14:52:34+00:00
3,27119,YPPH,large_airport,Perth International Airport,-31.94029998779297,115.96700286865234,67.0,OC,Australia,AU,Western Australia,AU-WA,WA,Perth,1,YPPH,PER,,,https://en.wikipedia.org/wiki/Perth_Airport,,51375,2008-06-26T14:52:34+00:00
4,26904,YBCS,medium_airport,Cairns International Airport,-16.885799408,145.755004883,10.0,OC,Australia,AU,Queensland,AU-QLD,QLD,Cairns,1,YBCS,CNS,,,https://en.wikipedia.org/wiki/Cairns_International_Airport,,750,2010-08-29T23:17:14+00:00
5,27096,YPAD,large_airport,Adelaide International Airport,-34.947512,138.533393,20.0,OC,Australia,AU,South Australia,AU-SA,SA,Adelaide,1,YPAD,ADL,,,https://en.wikipedia.org/wiki/Adelaide_International_Airport,,1000,2021-10-07T11:04:02+00:00
6,27101,YPDN,large_airport,Darwin International Airport / RAAF Darwin,-12.41497,130.88185,103.0,OC,Australia,AU,Northern Territory,AU-NT,NT,Darwin,1,YPDN,DRW,,https://www.darwinairport.com.au/,https://en.wikipedia.org/wiki/Darwin_International_Airport,,1000,2023-04-11T00:54:10+00:00
7,26902,YBCG,medium_airport,Gold Coast Airport,-28.165962,153.506641,21.0,OC,Australia,AU,Queensland,AU-QLD,QLD,Gold Coast,1,YBCG,OOL,,,https://en.wikipedia.org/wiki/Gold_Coast_Airport,,750,2022-01-21T19:07:44+00:00
8,27131,YSCB,medium_airport,Canberra International Airport,-35.3069,149.195007,1886.0,OC,Australia,AU,Australian Capital Territory,AU-ACT,ACT,Canberra,1,YSCB,CBR,,,https://en.wikipedia.org/wiki/Canberra_International_Airport,RAAF Base Fairbairn,750,2021-11-21T16:31:16+00:00
9,27058,YMHB,medium_airport,Hobart International Airport,-42.836101532,147.509994507,13.0,OC,Australia,AU,Tasmania,AU-TAS,TAS,Hobart,1,YMHB,HBA,,,https://en.wikipedia.org/wiki/Hobart_International_Airport,,750,2010-08-29T23:16:15+00:00
