Australian,Airline,InFlights,OutFlights,Year,Month_Number
Adelaide,Air New Zealand,23,23,2010,1
Adelaide,Cathay Pacific Airways,31,31,2010,2
Adelaide,Malaysia Airlines,18,18,2010,3
Adelaide,Qantas Airways,14,13,2010,4
Adelaide,Singapore Airlines,31,31,2010,5
Adelaide,Virgin Australia,22,23,2010,6
Brisbane,Air Caledonie,18,18,2010,7
Brisbane,Air New Zealand,138,138,2010,8
Brisbane,Air Niugini,41,41,2010,9
Brisbane,Fiji Airways,33,33,2010,10
Brisbane,Air Vanuatu,8,9,2010,11
Brisbane,Cathay Pacific Airways,45,45,2010,12
Brisbane,China Airlines,14,14,2010,1
Brisbane,Emirates,93,93,2010,2
Brisbane,Etihad Airways,13,13,2010,3
Brisbane,Eva Air,13,13,2010,4
Brisbane,JALWays,31,31,2010,5
Brisbane,Jetstar,62,62,2010,6
Brisbane,Korean Air,22,22,2010,7
Brisbane,Malaysia Airlines,23,23,2010,8
Brisbane,Nauru Airlines,5,5,2010,9
Brisbane,Qantas Airways,145,146,2010,10
Brisbane,Royal Brunei Airlines,45,44,2010,11
Brisbane,Singapore Airlines,93,93,2010,12
Brisbane,Solomon Airlines,13,13,2010,1
Brisbane,Thai Airways International,39,39,2010,2
Brisbane,United Airlines,1,0,2010,3
Brisbane,V Australia,22,23,2010,4
Brisbane,Virgin Australia,219,218,2010,5
Brisbane,Virgin Samoa,5,5,2010,6
Cairns,Air New Zealand,14,13,2010,7
Cairns,Air Niugini,53,52,2010,8
Cairns,Airlines PNG,24,24,2010,9
Cairns,Cathay Pacific Airways,26,26,2010,10
Cairns,Continental Micronesia,17,17,2010,11
Cairns,Jetstar,61,61,2010,12
Darwin,Jetstar,117,119,2010,1
Gold Coast,Air New Zealand,33,33,2010,2
Gold Coast,AirAsia X,26,27,2010,3
Gold Coast,Jetstar,97,98,2010,4
Gold Coast,Virgin Australia,27,27,2010,5
Melbourne,Air China,23,23,2010,6
Melbourne,Air Mauritius,4,4,2010,7
Melbourne,Air New Zealand,159,158,2010,8
Melbourne,Fiji Airways,18,19,2010,9
Melbourne,Air Vanuatu,4,9,2010,10
Melbourne,AirAsia X,49,48,2010,11
Melbourne,Cathay Pacific Airways,93,93,2010,12
Melbourne,China Eastern Airlines,18,18,2010,1
Melbourne,China Southern Airlines,13,13,2010,2
Melbourne,Emirates,124,124,2010,3
Melbourne,Etihad Airways,31,31,2010,4
Melbourne,Garuda Indonesia,31,31,2010,5
Melbourne,Jetstar,95,99,2010,6
Melbourne,Korean Air,13,13,2010,7
Melbourne,Malaysia Airlines,62,62,2010,8
Melbourne,Philippine Airlines,30,30,2010,9
Melbourne,Qantas Airways,223,221,2010,10
Melbourne,Qatar Airways,31,31,2010,11
Melbourne,Singapore Airlines,93,93,2010,12
Melbourne,Thai Airways International,62,62,2010,1
Melbourne,United Airlines,30,29,2010,2
Melbourne,V Australia,13,13,2010,3
Melbourne,Vietnam Airlines,18,18,2010,4
Melbourne,Virgin Australia,89,88,2010,5
Norfolk Island,Air New Zealand,5,5,2010,6
Perth,Air Mauritius,9,9,2010,7
Perth,Air New Zealand,31,31,2010,8
Perth,AirAsia X,31,31,2010,9
Perth,Cathay Pacific Airways,31,31,2010,10
Perth,Emirates,62,62,2010,11
Perth,Garuda Indonesia,93,93,2010,12
Perth,Indonesia AirAsia,62,62,2010,1
Perth,Jetstar,71,69,2010,2
Perth,Malaysia Airlines,40,40,2010,3
Perth,Qantas Airways,85,86,2010,4
Perth,Royal Brunei Airlines,22,23,2010,5
Perth,Singapore Airlines,93,93,2010,6
Perth,South African Airways,31,31,2010,7
Perth,Thai Airways International,30,31,2010,8
Perth,Tigerair,31,31,2010,9
Perth,Virgin Australia,40,40,2010,10
Sydney,Aerolineas Argentinas,21,21,2010,11
Sydney,Air Austral,9,9,2010,12
Sydney,Air Caledonie,21,21,2010,1
Sydney,Air Canada,31,31,2010,2
Sydney,Air China,43,43,2010,3
Sydney,Air New Zealand,291,291,2010,4
Sydney,Air Niugini,10,9,2010,5
Sydney,Fiji Airways,36,36,2010,6
Sydney,Air Vanuatu,27,27,2010,7
Sydney,Asiana Airlines,31,31,2010,8
Sydney,British Airways,62,62,2010,9
Sydney,Cathay Pacific Airways,124,124,2010,10
Sydney,China Airlines,30,30,2010,11
Sydney,China Eastern Airlines,31,31,2010,12
Sydney,China Southern Airlines,31,31,2010,1
Sydney,Delta Air Lines,31,31,2010,2
Sydney,Emirates,155,155,2010,3
Sydney,Etihad Airways,48,48,2010,4
Sydney,Garuda Indonesia,31,31,2010,5
Sydney,Hawaiian Airlines,14,14,2010,6
Sydney,JALWays,31,31,2010,7
Sydney,Jetstar,192,202,2010,8
Sydney,Korean Air,31,31,2010,9
Sydney,LATAM Airlines,29,29,2010,10
Sydney,Malaysia Airlines,54,54,2010,11
Sydney,Philippine Airlines,30,30,2010,12
Sydney,Qantas Airways,646,648,2010,1
Sydney,Singapore Airlines,124,124,2010,2
Sydney,Thai Airways International,93,92,2010,3
Sydney,United Airlines,62,58,2010,4
Sydney,V Australia,62,62,2010,5
Sydney,Vietnam Airlines,18,18,2010,6
Sydney,Virgin Atlantic Airways,31,31,2010,7
Sydney,Virgin Australia,146,145,2010,8
Sydney,Virgin Samoa,13,14,2010,9
Adelaide,Air New Zealand,16,16,2010,10
Adelaide,Cathay Pacific Airways,28,28,2010,11
Adelaide,Malaysia Airlines,16,16,2010,12
Adelaide,Qantas Airways,12,12,2010,1
Adelaide,Singapore Airlines,28,28,2010,2
Adelaide,Virgin Australia,16,17,2010,3
Brisbane,Air Caledonie,15,15,2010,4
Brisbane,Air New Zealand,110,111,2010,5
Brisbane,Air Niugini,36,36,2010,6
Brisbane,Fiji Airways,28,28,2010,7
Brisbane,Air Vanuatu,8,8,2010,8
Brisbane,Cathay Pacific Airways,40,40,2010,9
Brisbane,China Airlines,12,12,2010,10
Brisbane,China Eastern Airlines,6,5,2010,11
Brisbane,Emirates,83,81,2010,12
Brisbane,Etihad Airways,12,12,2010,1
Brisbane,Eva Air,13,13,2010,2
Brisbane,JALWays,28,28,2010,3
Brisbane,Jetstar,54,53,2010,4
Brisbane,Korean Air,20,20,2010,5
Brisbane,Malaysia Airlines,20,20,2010,6
Brisbane,Nauru Airlines,4,4,2010,7
Brisbane,Qantas Airways,134,133,2010,8
Brisbane,Royal Brunei Airlines,40,40,2010,9
Brisbane,Singapore Airlines,76,76,2010,10
Brisbane,Solomon Airlines,12,12,2010,11
Brisbane,Thai Airways International,40,40,2010,12
Brisbane,V Australia,20,20,2010,1
Brisbane,Virgin Australia,195,196,2010,2
Brisbane,Virgin Samoa,3,3,2010,3
Cairns,Air New Zealand,12,12,2010,4
Cairns,Air Niugini,48,48,2010,5
Cairns,Airlines PNG,23,23,2010,6
Cairns,Cathay Pacific Airways,24,24,2010,7
Cairns,Continental Micronesia,16,16,2010,8
Cairns,Jetstar,56,56,2010,9
Cairns,Qantas Airways,6,0,2010,10
Darwin,Jetstar,99,98,2010,11
Gold Coast,Air New Zealand,20,20,2010,12
Gold Coast,AirAsia X,28,27,2010,1
Gold Coast,Jetstar,90,89,2010,2
Gold Coast,Virgin Australia,28,28,2010,3
Melbourne,Air China,20,20,2010,4
Melbourne,Air Mauritius,4,4,2010,5
Melbourne,Air New Zealand,138,138,2010,6
Melbourne,Fiji Airways,12,12,2010,7
Melbourne,Air Vanuatu,1,2,2010,8
Melbourne,AirAsia X,55,56,2010,9
Melbourne,Cathay Pacific Airways,84,84,2010,10
Melbourne,China Eastern Airlines,29,28,2010,11
Melbourne,China Southern Airlines,12,12,2010,12
Melbourne,Emirates,111,112,2010,1
Melbourne,Etihad Airways,28,28,2010,2
Melbourne,Garuda Indonesia,28,28,2010,3
Melbourne,Jetstar,82,84,2010,4
Melbourne,Korean Air,12,12,2010,5
Melbourne,Malaysia Airlines,56,56,2010,6
Melbourne,Philippine Airlines,28,28,2010,7
Melbourne,Qantas Airways,200,198,2010,8
Melbourne,Qatar Airways,28,28,2010,9
Melbourne,Singapore Airlines,84,84,2010,10
Melbourne,Thai Airways International,56,56,2010,11
Melbourne,United Airlines,28,28,2010,12
Melbourne,V Australia,12,12,2010,1
Melbourne,Vietnam Airlines,16,16,2010,2
Melbourne,Virgin Australia,74,74,2010,3
Norfolk Island,Air New Zealand,4,4,2010,4
Perth,Air Mauritius,4,4,2010,5
Perth,Air New Zealand,24,24,2010,6
Perth,AirAsia X,28,28,2010,7
Perth,Cathay Pacific Airways,28,29,2010,8
Perth,Emirates,56,56,2010,9
Perth,Garuda Indonesia,84,84,2010,10
Perth,Indonesia AirAsia,56,56,2010,11
Perth,Jetstar,62,63,2010,12
Perth,Malaysia Airlines,34,34,2010,1
Perth,Qantas Airways,78,78,2010,2
Perth,Royal Brunei Airlines,20,20,2010,3
Perth,Singapore Airlines,68,68,2010,4
Perth,South African Airways,24,24,2010,5
Perth,Thai Airways International,28,28,2010,6
Perth,Tigerair,28,28,2010,7
Perth,Virgin Australia,35,35,2010,8
Sydney,Aerolineas Argentinas,20,20,2010,9
Sydney,Air Austral,8,8,2010,10
Sydney,Air Caledonie,20,20,2010,11
Sydney,Air Canada,27,27,2010,12
Sydney,Air China,36,36,2010,1
Sydney,Air New Zealand,239,239,2010,2
Sydney,Air Niugini,8,8,2010,3
Sydney,Fiji Airways,28,28,2010,4
Sydney,Air Vanuatu,24,24,2010,5
Sydney,Asiana Airlines,28,28,2010,6
Sydney,British Airways,56,56,2010,7
Sydney,Cathay Pacific Airways,112,112,2010,8
Sydney,China Airlines,27,27,2010,9
Sydney,China Eastern Airlines,32,32,2010,10
Sydney,China Southern Airlines,28,28,2010,11
Sydney,Delta Air Lines,28,28,2010,12
Sydney,Emirates,140,140,2010,1
Sydney,Etihad Airways,44,44,2010,2
Sydney,Garuda Indonesia,28,28,2010,3
Sydney,Hawaiian Airlines,12,12,2010,4
Sydney,JALWays,28,28,2010,5
Sydney,Jetstar,151,158,2010,6
Sydney,Korean Air,28,28,2010,7
Sydney,LATAM Airlines,22,24,2010,8
Sydney,Malaysia Airlines,48,48,2010,9
Sydney,Philippine Airlines,28,28,2010,10
Sydney,Qantas Airways,581,584,2010,11
Sydney,Singapore Airlines,112,112,2010,12
Sydney,Thai Airways International,84,84,2010,1
Sydney,United Airlines,56,55,2010,2
Sydney,V Australia,42,42,2010,3
Sydney,Vietnam Airlines,16,16,2010,4
Sydney,Virgin Atlantic Airways,28,28,2010,5
Sydney,Virgin Australia,112,112,2010,6
Sydney,Virgin Samoa,12,12,2010,7
Adelaide,Air New Zealand,18,18,2010,8
Adelaide,Cathay Pacific Airways,31,31,2010,9
Adelaide,Malaysia Airlines,18,17,2010,10
Adelaide,Qantas Airways,13,13,2010,11
Adelaide,Singapore Airlines,31,31,2010,12
Adelaide,Virgin Australia,19,20,2010,1
Brisbane,Air Caledonie,8,8,2010,2
Brisbane,Air New Zealand,129,129,2010,3
Brisbane,Air Niugini,39,40,2010,4
Brisbane,Fiji Airways,31,31,2010,5
Brisbane,Air Vanuatu,10,10,2010,6
Brisbane,Cathay Pacific Airways,43,44,2010,7
Brisbane,China Airlines,12,12,2010,8
Brisbane,Emirates,93,93,2010,9
Brisbane,Etihad Airways,13,13,2010,10
Brisbane,Eva Air,13,13,2010,11
Brisbane,JALWays,31,31,2010,12
Brisbane,Jetstar,61,61,2010,1
Brisbane,Korean Air,14,14,2010,2
Brisbane,Malaysia Airlines,23,23,2010,3
Brisbane,Nauru Airlines,5,4,2010,4
Brisbane,Philippine Airlines,5,5,2010,5
Brisbane,Qantas Airways,146,143,2010,6
Brisbane,Royal Brunei Airlines,41,42,2010,7
Brisbane,Singapore Airlines,84,84,2010,8
Brisbane,Solomon Airlines,13,13,2010,9
Brisbane,Thai Airways International,45,45,2010,10
Brisbane,V Australia,21,22,2010,11
Brisbane,Virgin Australia,220,218,2010,12
Brisbane,Virgin Samoa,4,4,2010,1
Cairns,Air New Zealand,13,13,2010,2
