Australian,Airline,InFlights,OutFlights,Year
Adelaide,Air New Zealand,23.0,23.0,2010
Adelaide,Cathay Pacific Airways,31.0,31.0,2010
Adelaide,Malaysia Airlines,18.0,18.0,2010
Adelaide,Qantas Airways,14.0,13.0,2010
Adelaide,Singapore Airlines,31.0,31.0,2010
Adelaide,Virgin Australia,22.0,23.0,2010
Brisbane,Air Caledonie,18.0,18.0,2010
Brisbane,Air New Zealand,138.0,138.0,2010
Brisbane,Air Niugini,41.0,41.0,2010
Brisbane,Fiji Airways,33.0,33.0,2010
Brisbane,Air Vanuatu,8.0,9.0,2010
Brisbane,Cathay Pacific Airways,45.0,45.0,2010
Brisbane,China Airlines,14.0,14.0,2010
Brisbane,Emirates,93.0,93.0,2010
Brisbane,Etihad Airways,13.0,13.0,2010
Brisbane,Eva Air,13.0,13.0,2010
Brisbane,JALWays,31.0,31.0,2010
Brisbane,Jetstar,62.0,62.0,2010
Brisbane,Korean Air,22.0,22.0,2010
Brisbane,Malaysia Airlines,23.0,23.0,2010
Brisbane,Nauru Airlines,5.0,5.0,2010
Brisbane,Qantas Airways,145.0,146.0,2010
Brisbane,Royal Brunei Airlines,45.0,44.0,2010
Brisbane,Singapore Airlines,93.0,93.0,2010
Brisbane,Solomon Airlines,13.0,13.0,2010
Brisbane,Thai Airways International,39.0,39.0,2010
Brisbane,United Airlines,1.0,0.0,2010
Brisbane,V Australia,22.0,23.0,2010
Brisbane,Virgin Australia,219.0,218.0,2010
Brisbane,Virgin Samoa,5.0,5.0,2010
Cairns,Air New Zealand,14.0,13.0,2010
Cairns,Air Niugini,53.0,52.0,2010
Cairns,Airlines PNG,24.0,24.0,2010
Cairns,Cathay Pacific Airways,26.0,26.0,2010
Cairns,Continental Micronesia,17.0,17.0,2010
Cairns,Jetstar,61.0,61.0,2010
Darwin,Jetstar,117.0,119.0,2010
Gold Coast,Air New Zealand,33.0,33.0,2010
Gold Coast,AirAsia X,26.0,27.0,2010
Gold Coast,Jetstar,97.0,98.0,2010
Gold Coast,Virgin Australia,27.0,27.0,2010
Melbourne,Air China,23.0,23.0,2010
Melbourne,Air Mauritius,4.0,4.0,2010
Melbourne,Air New Zealand,159.0,158.0,2010
Melbourne,Fiji Airways,18.0,19.0,2010
Melbourne,Air Vanuatu,4.0,9.0,2010
Melbourne,AirAsia X,49.0,48.0,2010
Melbourne,Cathay Pacific Airways,93.0,93.0,2010
Melbourne,China Eastern Airlines,18.0,18.0,2010
Melbourne,China Southern Airlines,13.0,13.0,2010
Melbourne,Emirates,124.0,124.0,2010
Melbourne,Etihad Airways,31.0,31.0,2010
Melbourne,Garuda Indonesia,31.0,31.0,2010
Melbourne,Jetstar,95.0,99.0,2010
Melbourne,Korean Air,13.0,13.0,2010
