Australian,Airline,InFlights,OutFlights,Year
Adelaide,Air New Zealand,23,23,2010
Adelaide,Cathay Pacific Airways,31,31,2010
Adelaide,Malaysia Airlines,18,18,2010
Adelaide,Qantas Airways,14,13,2010
Adelaide,Singapore Airlines,31,31,2010
Adelaide,Virgin Australia,22,23,2010
Brisbane,Air Caledonie,18,18,2010
Brisbane,Air New Zealand,138,138,2010
Brisbane,Air Niugini,41,41,2010
Brisbane,Fiji Airways,33,33,2010
Brisbane,Air Vanuatu,8,9,2010
Brisbane,Cathay Pacific Airways,45,45,2010
Brisbane,China Airlines,14,14,2010
Brisbane,Emirates,93,93,2010
Brisbane,Etihad Airways,13,13,2010
Brisbane,Eva Air,13,13,2010
Brisbane,JALWays,31,31,2010
Brisbane,Jetstar,62,62,2010
Brisbane,Korean Air,22,22,2010
Brisbane,Malaysia Airlines,23,23,2010
Brisbane,Nauru Airlines,5,5,2010
Brisbane,Qantas Airways,145,146,2010
Brisbane,Royal Brunei Airlines,45,44,2010
Brisbane,Singapore Airlines,93,93,2010
Brisbane,Solomon Airlines,13,13,2010
Brisbane,Thai Airways International,39,39,2010
Brisbane,United Airlines,1,,2010
Brisbane,V Australia,22,23,2010
Brisbane,Virgin Australia,219,218,2010
Brisbane,Virgin Samoa,5,5,2010
Cairns,Air New Zealand,14,13,2010
Cairns,Air Niugini,53,52,2010
Cairns,Airlines PNG,24,24,2010
Cairns,Cathay Pacific Airways,26,26,2010
Cairns,Continental Micronesia,17,17,2010
Cairns,Jetstar,61,61,2010
Darwin,Jetstar,117,119,2010
Gold Coast,Air New Zealand,33,33,2010
Gold Coast,AirAsia X,26,27,2010
Gold Coast,Jetstar,97,98,2010
Gold Coast,Virgin Australia,27,27,2010
Melbourne,Air China,23,23,2010
Melbourne,Air Mauritius,4,4,2010
Melbourne,Air New Zealand,159,158,2010
Melbourne,Fiji Airways,18,19,2010
Melbourne,Air Vanuatu,4,9,2010
Melbourne,AirAsia X,49,48,2010
Melbourne,Cathay Pacific Airways,93,93,2010
Melbourne,China Eastern Airlines,18,18,2010
Melbourne,China Southern Airlines,13,13,2010
Melbourne,Emirates,124,124,2010
Melbourne,Etihad Airways,31,31,2010
